HYBRIDIZATION R	TCGA-AA-3841-01	TCGA-AA-3866-01	TCGA-AA-3870-01	TCGA-AA-3939-01	TCGA-AA-3941-01	TCGA-AA-3968-01	TCGA-AA-3970-01	TCGA-AA-3977-01	TCGA-AA-3979-01	TCGA-AA-3980-01
ACTR5|79913	220	428	224	206	317	460	582	158	437	417
ACTR6|64431	37	370	198	967	443	479	540	254	553	473
ACTR8|93973	256	700	544	266	367	413	447	236	216	457
ACTRT1|139741	0	0	0	4	0	0	0	0	0	0
ACTRT2|140625	0	0	0	0	0	0	0	0	0	0
ACVR1B|91	1468	1037	1643	1204	1123	1934	1759	338	1051	940
ACVR1C|130399	21	296	42	36	80	267	117	61	12	178
ACVR1|90	241	739	719	398	575	570	469	295	346	604
ACVR2A|92	65	362	187	201	466	388	337	148	313	379
ACVR2B|93	392	183	433	76	165	370	327	115	111	296
ACVRL1|94	1699	1640	853	1608	303	1426	1572	344	1440	961
ACY1|95	2674	1770	1768	2309	3167	842	2093	608	1500	1420
ACY3|91703	289	134	188	185	111	137	85	316	153	128
ACYP1|97	30	109	121	120	396	162	142	84	162	221
ACYP2|98	16	128	58	212	73	102	104	114	82	233
ADAD1|132612	0	0	3	0	0	0	0	0	0	0
ADAD2|161931	0	0	0	0	0	0	3	0	0	0
ADAL|161823	21	162	29	35	83	122	139	49	106	95
ADAM10|102	310	1794	972	1000	1546	1340	1470	1343	923	1239
ADAM11|4185	2	3	7	3	1	7	8	3	4	5
ADAM12|8038	92	930	533	150	68	294	94	117	83	110
ADAM15|8751	4963	3187	8455	3881	3400	3359	2899	2174	5883	4456
ADAM17|6868	160	730	495	296	351	585	456	238	979	689
ADAM18|8749	0	0	39	0	1	2	1	4	1	0
ADAM19|8728	451	1662	5297	1632	1037	1368	511	196	345	404
ADAM20|8748	0	1	0	0	0	1	2	1	0	0
ADAM21P1|145241	0	0	0	0	0	1	0	0	0	0
ADAM21|8747	0	0	2	1	1	0	0	3	0	0
ADAM22|53616	21	45	38	10	5	28	19	18	9	17
ADAM23|8745	10	67	25	11	1	36	14	30	5	22
ADAM28|10863	58	140	71	189	116	79	105	37	21	98
ADAM29|11086	0	0	1	0	0	0	1	0	0	0
ADAM2|2515	0	0	0	0	0	0	0	4	0	0
ADAM30|11085	0	0	0	0	0	0	0	0	0	0
ADAM32|203102	9	43	3	49	2	63	72	25	73	148
ADAM33|80332	50	54	72	13	35	95	51	29	14	30
ADAM3A|1587	6	9	19	4	16	18	12	7	11	22
ADAM5P|255926	1	0	1	0	0	0	0	1	0	0
ADAM6|8755	101211	103843	100089	60190	28033	79278	106976	10034	1445	8962
ADAM7|8756	0	0	0	0	0	0	0	0	0	0
ADAM8|101	544	691	894	663	1954	236	193	144	144	238
ADAM9|8754	855	2650	4864	3687	6191	2509	2176	3010	5522	4780
ADAMDEC1|27299	121	949	369	417	205	1699	831	96	282	976
ADAMTS10|81794	68	40	96	30	17	102	26	18	15	33
ADAMTS12|81792	53	205	362	47	18	178	38	34	15	34
ADAMTS13|11093	105	23	113	20	71	64	123	21	17	184
ADAMTS14|140766	103	182	161	81	92	198	155	67	75	115
ADAMTS15|170689	7	49	167	25	1	1	6	118	2	37
ADAMTS16|170690	11	19	56	4	8	32	1	5	0	3
ADAMTS17|170691	36	9	40	11	3	21	47	8	4	16
