"";"TCGA.OR.A5JZ";"TCGA.OR.A5L5";"TCGA.OR.A5JF";"TCGA.OR.A5LO";"TCGA.OR.A5KT";"TCGA.OR.A5L4";"TCGA.OR.A5KU";"TCGA.PK.A5H9";"TCGA.OR.A5JS";"TCGA.OR.A5LR";"TCGA.OR.A5LC";"TCGA.OR.A5JA";"TCGA.OR.A5JT";"TCGA.OR.A5J8";"TCGA.PA.A5YG";"TCGA.OR.A5LP";"TCGA.OR.A5LJ";"TCGA.OR.A5JL";"TCGA.OR.A5K4";"TCGA.OU.A5PI";"TCGA.OR.A5JJ";"TCGA.P6.A5OF";"TCGA.OR.A5K8";"TCGA.OR.A5L8"
"ACOT7";11,4240618393479;9,67392260469032;9,80762488233737;9,8221788073238;10,5364733000088;9,28328681092626;9,90672191571991;13,2086171405391;10,3367628010983;11,6436348851837;11,2184784928154;10,7640561159447;10,4872252230555;10,4991295271707;9,23288451402179;9,2533506084533;10,3087984219906;10,3455264287194;10,3490842504841;9,94920036009422;10,7496274025499;9,8319729349161;9,8442477135191;8,66449658523155
"ACOX3";9,85038239048499;9,46967522470716;10,4329464180778;8,39603012131962;9,01657526298494;8,84814342962673;10,1412545821933;9,71698852643555;9,19806462970259;9,19586112715201;9,79312275374305;9,12167079186196;10,6342320076107;9,3677207212311;9,48807193667434;9,09412390416112;9,02295448482695;9,23142372191631;10,6145468935908;9,36226022663675;10,2865251721774;10,0876884763656;10,2641952531277;9,55619115519375
"ACP1";11,8217924691195;11,9274042341236;12,1985137369109;11,5116276348169;12,2046899210929;12,4500052072028;12,4784285694435;11,9065204392418;12,4374460927685;12,0126109157095;13,3463113882843;12,0155311929496;11,6877896824322;11,7155531511263;12,0684679937752;11,8745783697869;12,7081315542946;12,5483588967303;11,693445854033;11,251838906742;12,342267460557;11,8277814550732;12,1423078901618;12,1592843372625
"ACP2";11,8073435421586;11,0147932150224;10,8687179531784;10,7220566320592;11,9083834781538;11,3690579527035;11,3831905105033;11,7188182563933;11,5973121826822;10,8366867960685;10,463571545651;11,4536060546893;11,4932345253851;12,348283937369;10,6835122780736;10,8081625475286;10,7607856755108;11,6907364958027;11,1395557147848;10,1622751116003;10,6843259853887;10,1369201473602;11,1987491868322;10,86893505799
"ACP6";8,80438243249309;8,63741057521116;9,29662820529656;10,0881696051388;8,72715162098064;8,23370867234024;9,18140833063794;9,59665103507944;9,50423899946779;8,78326231672165;8,92451405371167;7,68227570801959;8,49280774162075;6,63538384716273;8,70238924713701;8,69946567882844;9,8566731900238;10,2551829927888;7,74604651728091;9,11331844715166;9,21800212909077;8,68556513254162;9,06185009402332;8,74703063657832
"ACPP";8,28192577373143;7,87471283558495;8,2243630783782;9,26229138480124;5,53935043372574;8,95597653738098;8,48193376890041;13,7223407278561;7,03723694600025;7,88451165191382;6,06999137714811;7,77878747541021;7,88755301441314;7,27020297950216;10,1110785445955;9,45608822485654;5,96428636991056;9,0786977483018;7,50407928108797;9,70987234963283;8,09877461812508;8,05537589244879;8,58206667814133;9,81694756828302
"ACRBP";5,98093561745542;6,43669006612861;5,64542276865489;5,93796326414994;6,5102711979156;6,15513016820825;6,18771472238933;5,8249257782185;6,17370335223301;5,84565488473334;5,770181942492;5,91064913062993;5,69920967612977;7,27742160839479;6,20528203941263;6,25541258551143;6,25696073253519;5,63996791954755;5,56193554362069;5,51230527206821;6,26333028887754;5,52837264198974;5,68387556327569;5,20464699312803
"ACSF2";11,5620140270201;11,6267315530736;10,4829476094031;10,2805236293188;10,0620255131806;13,2289344480249;11,1109623049293;13,316752882431;10,3106029350913;12,9547408173653;11,1567078741477;10,8611326920858;11,6151456454333;9,924226331691;11,9600709621308;11,2201992352689;11,3716380110769;11,3292460951136;13,5350652191729;11,1074367884149;10,1803092798782;10,7323659335732;11,037634119156;11,7137791221248
"ACSF3";11,7312056361263;11,0917125826285;11,0737815096299;9,95020854544127;11,1634174190287;11,8334867305574;10,3837927951026;11,3659070416607;11,0439760841458;11,7947334543532;11,69013402764;10,2932493051748;12,0693748881488;10,0571696094524;10,5438322548776;11,1972003628771;9,88932127047042;10,5291751765833;12,7861079106015;10,6135908297286;11,2116732253822;10,7335092385489;10,8925893711121;10,6498200656049
"ACSL4";13,8921148251256;12,7860103261187;12,0818261188999;12,1555904532456;13,3258432340204;15,0733528001123;11,7374749176331;13,3836093655444;12,5997125142986;13,488442116974;11,2233077305294;13,0491870595091;13,4725962042998;10,9863459040757;13,3726832713075;14,0489924354936;12,2547881251586;14,188740742639;12,8465925458482;12,4628449460676;11,4290058882833;12,4138735004642;12,2892971833959;10,870711934853
"ACSM3";9,42988810904487;7,90890302685629;8,85524182876343;9,32667413534752;10,7520752133656;9,84728433045115;8,9783915822099;12,9394985498996;7,39400093120667;7,47495412501612;7,45052020120301;12,9436170527457;10,4067394225455;6,66983724942307;9,51599315131942;7,19741368035734;6,9695011035773;9,28155884207238;9,20820526855917;9,93544827614316;10,6273179173122;8,48487409928547;8,50163808904313;9,28455491862371
"ACSM5";5,24017631610679;7,00788384902866;5,87207775051365;5,23603293854875;7,06224845109472;5,64516634385617;4,92842074179284;5,84572719071663;5,00314221878999;5,9336590868618;5,52256105651164;5,77766776607407;5,3070161536635;6,34925492049776;7,13033511174924;6,59736086207126;5,52048334987445;5,53889500852672;5,24744003963845;5,71342162259253;5,53240789430663;6,39353067564163;5,57150666414631;5,34311686573215
"ACSS1";11,3540675328596;10,2724430095541;11,0870458887442;12,3769116614554;9,81887607293149;8,04276689988699;11,6252778251055;13,3146369269159;10,2333746916216;11,8191529741848;10,8357029378635;11,0364360793693;12,3167012404675;10,1378269459839;9,57651387783974;11,2747690302936;13,7095772076701;10,9082547249084;13,7371695386618;8,15061527766836;10,8214272517131;9,53536524031403;8,10969533405045;8,46169049953002
"ACTN1";9,67262595730996;11,0231875588799;11,0747002210329;12,627742036333;11,0539712802305;11,6934590290633;12,3071910221986;12,302933543008;12,772806625116;10,174263724657;11,3383233689979;11,0010643449957;10,3335556399268;13,2363546402088;11,7374021719002;11,7103518667124;11,5762911065129;10,5349666114874;8,83058444620173;13,2719518429878;12,2185426263616;11,7505553917654;10,648684319789;12,368856487789
"ACTN2";5,24017631610679;5,54342630103093;5,44476191178685;8,691746125153;4,97496921595623;4,92061727977843;5,27636536482548;8,95370033483174;5,00314221878999;5,5837075173524;5,57787035504995;6,07248807227261;5,1309379218804;5,7727030735727;4,84325058612315;5,02718865263817;4,85264537923991;5,60755240671163;5,24744003963845;5,36327899289687;9,18171090438543;6,64355995364136;5,08077982984778;5,09050577816723
"ACTR3C";5,15235736296146;10,0260578257923;7,65367115418644;6,4867177781511;7,40535980979877;9,09668776104456;6,67820925758256;7,45069856390253;7,06884644360352;9,72451724129744;6,27875776591508;5,12538659292944;8,94841564251656;5,74775527452684;9,20286926680815;8,97046293150806;6,621465649093;6,45788746673078;8,75143053988833;6,78420997812739;6,73985862398392;7,25270967515809;5,28658362030693;6,97879304268633
