GZMA	GZMK
GZMA	IL2RG
GZMA	NKG7
GZMA	PYHIN1
GZMA	SH2D1A
GZMA	SLAMF6
GZMK	SH2D1A
HBA2	HBB
HCG26	HCP5
HCK	HCLS1
HCK	IKZF1
HCK	IL10RA
HCK	IRF8
HCK	ITGB2
HCK	LAIR1
HCK	LILRB2
HCK	MS4A4A
HCK	MS4A6A
HCK	MS4A7
HCK	MYO1F
HCK	NCF4
HCK	NCKAP1L
HCK	NFAM1
HCK	PARVG
HCK	PLEK
HCK	RASGRP4
HCK	RNASE6
HCK	SASH3
HCK	SLA
HCK	SPI1
HCK	TBXAS1
HCK	TYROBP
HCK	WAS
HCLS1	IKZF1
HCLS1	IL10RA
HCLS1	ITGB2
HCLS1	LAIR1
HCLS1	LCP2
HCLS1	LST1
HCLS1	LY86
HCLS1	MS4A6A
HCLS1	MS4A7
HCLS1	MYO1F
HCLS1	NCKAP1L
HCLS1	NFAM1
HCLS1	PARVG
HCLS1	PLCB2
HCLS1	RNASE6
HCLS1	SASH3
HCLS1	SELPLG
HCLS1	SLA
HCLS1	SPI1
HCLS1	TBXAS1
HCLS1	TYROBP
HCLS1	VSIG4
HCLS1	WAS
HCST	TNFAIP8L2
HJURP	KIF11
HJURP	KIF14
HJURP	KIF18B
HJURP	KIF20A
HJURP	KIF2C
HJURP	KIF4A
HJURP	KIFC1
HJURP	MKI67
HJURP	NDC80
HJURP	NUF2
HJURP	PLK1
HJURP	RRM2
HJURP	TOP2A
HJURP	TROAP
HJURP	UBE2C
HJURP	UHRF1
HLA-A	HLA-H
HLA-DOA	HLA-DPA1
HLA-DOA	HLA-DPB1
HLA-DPA1	HLA-DPB1
HLA-DPA1	HLA-DRA
HLA-DPA1	HLA-DRB1
HLA-DPB1	HLA-DRA
HLA-DPB1	HLA-DRB1
HLA-DQA1	HLA-DQB1
HLA-DRA	HLA-DRB1
HLA-DRB1	HLA-DRB5
HMGCS1	INSIG1
HMGCS1	SC4MOL
HNRNPA1L2	HNRNPA1
HOXA11AS	HOXA11
HSPD1	MOBKL3
IKZF1	IL10RA
IKZF1	IL16
IKZF1	ITGAL
IKZF1	ITGB2
IKZF1	LAIR1
IKZF1	LCP2
IKZF1	LST1
IKZF1	MS4A6A
IKZF1	MYO1F
IKZF1	NCKAP1L
IKZF1	PARVG
IKZF1	PLCB2
IKZF1	PLEK
IKZF1	PTPRC
IKZF1	SASH3
IKZF1	SPI1
IKZF1	TMC8
IKZF1	TNFAIP8L2
IKZF1	TRAF3IP3
IL10RA	ITGB2
IL10RA	LAIR1
IL10RA	LILRB2
IL10RA	MS4A6A
IL10RA	MS4A7
IL10RA	NCKAP1L
IL10RA	NFAM1
IL10RA	NLRP3
IL10RA	PLEK
IL10RA	PTPRC
IL10RA	SASH3
IL10RA	SLA
IL10RA	SLCO2B1
IL10RA	TBXAS1
IL10RA	TFEC
IL10RA	TMC8
IL16	TMC8
IL2RG	ITGAL
IL2RG	SLAMF6
IL2RG	TBC1D10C
IL2RG	TMC8
IPW	NDN
IPW	PAR-SN
IPW	SNORD116-28
